ApplauseRate,ReviewNum,Level,FlavorScore,EnvironmentScore,ServiceScore,5StarReviewNum,High-qualityMerchant,PopularArea,PictureNum,ParkingNum,ParkingInfo,GroupPurchase,Promotion,AdvanceReservation,TakeOut,PerConsumption,BusinessDay
52.27,264,4,8.3,9,8.6,138,1,0,174,3,1,1,0,0,0,238,828
51,3339,4.5,8.7,8.6,7.8,1703,1,1,684,2,1,1,0,0,1,64,788
52.99,3529,4,8.5,8.3,7.8,1870,1,1,573,6,1,1,0,0,0,88,1333
39.69,383,4,8.2,9,8.6,152,0,1,253,1,1,0,0,0,0,312,326
53.33,45,4.5,8.4,9.1,8.9,24,1,1,39,0,0,0,0,1,0,413,180
57.88,1643,4,7.9,8.2,8.2,951,1,1,771,3,1,1,0,1,1,87,257
58.92,701,4,7.9,7.5,7.5,413,1,1,338,1,1,1,0,0,0,65,330
38.81,1247,4,8.2,8.7,7.8,484,0,1,415,17,1,0,0,0,0,128,1967
56.58,1633,4.5,8.3,8.7,8.2,924,1,1,475,1,1,1,0,0,1,57,187
70.67,600,4.5,8.8,9.1,8.7,424,1,0,198,0,0,1,0,0,0,66,306
41.64,6714,4,8.4,7.7,7.3,2721,0,0,1332,74,1,0,0,0,0,59,2966
64.66,116,4.5,8.8,8.5,9,75,1,0,84,1,1,1,0,0,0,57,349
46.86,5692,4,8.5,8.1,7.7,2667,1,1,1085,4,1,1,0,0,1,60,1210
43.39,3025,4,8.4,7.6,7.4,1312,0,1,686,35,1,0,0,0,1,58,2793
79.04,291,4.5,8.9,8.2,9.1,230,1,0,136,0,0,1,0,0,0,70,807
46.91,12702,4,7.9,8.1,7.4,5640,1,0,2818,152,1,1,0,0,0,104,159
56.7,739,4.5,8.6,8.3,8,419,1,1,231,0,0,1,0,1,0,146,1328
79.23,1830,4,8.4,7.6,8,1450,1,0,668,1,1,1,0,0,1,54,492
80.95,588,4,8.6,9,8.4,476,1,0,441,0,0,0,0,0,0,92,443
42.99,2953,4.5,8.2,8.1,7.9,1163,0,0,379,76,1,1,0,0,1,74,2860
45.78,14119,4,8.1,8.1,7.3,6231,1,1,2240,158,1,1,0,0,0,117,58
41.64,963,4,8.4,8.4,7.3,401,0,0,519,1,1,0,0,0,0,100,647
51.17,2008,4,8.2,7.9,8.4,1002,1,0,594,15,1,1,0,0,1,264,2834
46.2,2825,4,8,8.3,7.8,1246,1,0,561,56,1,1,0,0,1,65,172
43.13,1959,4,8,8.2,8.2,845,0,1,586,1,1,1,0,1,1,69,939
35.07,1050,4,8.2,6.8,7.4,344,0,0,449,42,1,0,0,0,0,136,2438
37.18,581,4,8.2,8,7.4,216,0,1,370,0,0,0,0,0,0,123,344
49.19,807,4.5,8.6,8.8,8.3,397,1,0,215,0,0,0,0,0,0,59,703
53.93,1704,4.5,8.6,8.9,8,919,1,1,251,2,1,0,0,0,0,99,799
46.71,5160,4,8.2,8.7,8,2410,1,1,1045,8,1,0,0,0,1,61,1130
56.17,1328,4.5,8.3,9.2,7.6,746,1,1,292,4,1,1,0,0,0,93,1912
53.88,1585,4,8.2,9,7.7,854,1,0,414,10,1,0,0,0,0,129,1756
52.78,216,4.5,9,9.1,8.3,114,1,0,140,1,1,0,0,0,0,360,1468
45.72,654,4,8.4,8.7,8.5,299,1,1,473,1,1,1,0,0,1,80,203
48.92,1018,4,8.1,8.5,8.3,498,1,1,282,4,1,1,0,0,1,57,1399
52.86,2480,4,8.6,8.6,7.9,1311,1,0,267,7,1,1,0,0,0,84,2570
54.17,168,4.5,8.5,9,8.5,91,1,0,101,2,1,1,0,0,0,244,2029
41.57,332,4,8.2,8.4,7.7,138,0,1,262,0,0,0,1,0,0,58,414
28.82,230,4,8.7,6,7,66,0,0,180,5,1,0,0,0,0,47,2502
58.52,1609,4,8.4,8.7,8,852,1,0,246,35,1,0,0,0,0,166,2627
58.47,118,4.5,9,7.5,7.6,69,1,0,68,0,0,1,0,0,1,46,181
71.43,378,4,8.4,8,8.3,270,1,0,249,1,1,0,0,1,1,82,404
43.14,102,4,7.9,8.4,8.3,44,0,1,93,0,0,0,0,0,1,43,64
51.06,284,4,7.9,9,7.9,145,1,1,175,1,1,1,0,0,0,450,713
52.43,1392,4,8.4,8.9,8.5,713,1,0,298,17,1,0,0,0,0,183,2073
46.27,67,4.5,8.3,8.5,7.6,31,1,0,50,0,0,0,0,1,0,64,161
79.46,482,4.5,8.8,7.7,8.6,383,1,0,356,1,1,0,0,0,0,60,358
31.2,2809,4,7.7,6.8,7,750,0,1,419,104,1,1,1,0,1,81,2933
39.77,1682,4,8.1,7.7,7.4,669,0,1,542,1,1,1,0,0,1,39,954
41.99,3715,4,7.8,8.4,7.7,1560,0,1,896,23,1,1,0,0,1,73,160
55.11,479,4,8,8.7,8,264,1,1,279,1,1,1,0,0,1,63,226
30.9,1026,4,7.8,8.3,8.2,317,0,1,827,2,1,0,0,0,0,75,418
48.29,1495,4,8.4,8.5,7.9,722,1,0,320,7,1,1,0,0,1,91,1494
62.39,117,4.5,8.9,9,8.4,73,1,0,73,0,0,0,0,0,0,123,157
41.22,19794,4,8,8.4,7.8,8160,0,1,3984,31,1,1,1,0,1,69,1533
44.16,1463,4,8.2,8.6,7.9,646,0,1,128,16,1,1,0,0,0,121,2407
43.55,5791,4,7.9,8.1,7.7,2522,0,0,1696,6,1,0,1,0,1,71,759
54.71,945,4.5,8.1,8.6,8.1,505,1,0,181,10,1,1,0,0,1,130,2442
45.94,3578,4,8.2,8.3,7.6,1605,1,1,455,16,1,1,0,0,0,105,2730
65.58,154,4,8.2,8.7,8.2,101,1,1,121,1,1,0,1,0,1,63,147
37.32,418,4,7.9,7.5,8,156,0,1,260,1,1,1,0,0,0,30,847
34.24,1857,4,7.8,8.7,7.3,617,0,0,727,40,1,0,0,0,0,112,2939
58.33,335,4,8.2,8.8,7.9,196,1,0,272,3,1,0,0,0,1,76,204
51.47,136,4,8,8.3,7.8,70,1,1,91,0,0,1,0,0,1,71,75
45.81,465,4.5,8.3,7.9,7.9,213,1,0,224,1,1,1,0,0,1,60,1539
53.05,509,4,8.5,8.5,8,270,1,1,287,3,1,0,0,0,0,169,736
49.93,2031,4.5,8.8,7.5,7.9,1014,1,1,396,3,1,1,1,1,0,92,1834
36.89,103,4,8.1,8,7.2,38,0,0,74,0,0,1,0,0,1,58,67
45.34,4967,4,8.1,8.9,7.2,2252,1,1,970,12,1,0,0,0,0,110,2024
43.62,1439,4,8.3,8.4,7.4,588,0,1,359,43,1,1,0,0,0,129,2873
46.25,802,4,8.3,7.8,7.5,352,1,0,198,16,1,1,0,1,0,83,2921
40.96,2114,4,8,7.5,7.6,866,0,1,336,1,1,1,0,0,1,51,2328
46.09,115,4,7.8,8.2,8.5,53,1,1,72,0,0,1,1,0,1,104,178
45.78,2951,4,8.2,7.2,7.2,1351,1,0,669,8,1,0,0,0,0,73,2141
37.78,180,4,7.7,8.5,7.7,68,0,1,142,1,1,0,0,0,0,85,420
52.14,1615,4,7.9,7.8,7.9,842,1,0,605,0,0,1,0,0,1,80,471
39.76,664,4,8.6,6.8,7.2,264,0,0,238,11,1,0,0,1,0,108,2810
46.12,2012,4,8.1,8.8,7.8,928,1,0,312,22,1,1,0,1,1,124,2790
47.77,2083,4,8.3,7.2,7.4,975,1,0,324,43,1,0,0,0,0,61,2870
72.65,351,4,8.2,8.8,8.4,255,1,0,297,0,0,0,0,0,0,91,200
46.91,486,4,8.5,8.1,8.6,228,1,1,187,0,0,1,0,0,0,69,1482
79.86,5833,4,8.2,8.2,8.2,4658,1,1,2822,9,1,1,1,1,0,85,914
39.48,2586,4,8.1,7.4,7.4,1021,0,1,821,3,1,1,0,0,0,52,833
44.91,1797,4,8.2,8.1,7.7,807,1,1,314,11,1,0,0,0,1,149,2490
55.5,3137,4,8.2,8.1,7.6,1699,1,0,391,48,1,1,0,1,1,73,2898
73.66,410,4,8.4,8.5,8.3,302,1,0,287,0,0,1,1,0,0,75,220
52.95,610,4.5,8.5,7.8,8,323,1,0,213,0,0,1,0,1,0,66,1302
38.42,341,4,8,9,8.3,131,0,0,310,0,0,0,0,0,1,38,396
41.4,372,4,7.7,9.1,8.1,154,0,1,231,9,1,0,0,0,0,366,1920
43.57,1221,4,8.1,8.4,7.5,532,0,1,485,1,1,1,0,0,0,93,472
29.02,1203,4,7.9,6.4,7,343,0,0,513,18,1,0,0,0,1,87,2949
48.91,503,4,8.3,9,7.8,246,1,1,137,0,0,1,0,0,0,137,1375
33.17,401,4,8.6,7.1,7.4,133,0,1,256,1,1,0,0,0,0,68,719
46.59,88,4,8.2,8.1,7.9,41,1,0,65,1,1,1,0,0,0,90,144
63.41,860,4,8.1,8.8,8.2,494,1,0,277,49,1,0,0,0,1,220,2668
32.46,1294,4,7.9,7.5,7.6,420,0,1,897,0,0,0,0,0,1,63,744
51.79,4155,4,8.3,8.6,7.8,2152,1,1,470,3,1,1,0,1,0,89,1734
41.56,320,4,8.1,8.3,7.7,133,0,0,209,0,0,0,0,0,0,68,214
37.63,784,4,8,8.7,7.6,295,0,0,417,6,1,0,0,0,0,79,1465
37.71,891,4,8.5,7.4,7.2,336,0,1,271,9,1,0,0,0,0,65,2157
31.91,633,4,8.1,6.9,7.3,202,0,0,291,8,1,1,0,0,0,64,2610
33.76,548,4,8.5,7.2,7.6,185,0,1,286,2,1,0,0,0,0,76,1286
38.26,115,4,8.1,7.4,8,44,0,1,90,1,1,1,0,0,1,32,132
34.7,1076,4,8.1,7.8,7.5,373,0,0,570,7,1,0,0,0,0,40,1916
32.5,80,4,7.6,8.2,8.5,26,0,1,70,0,0,1,1,0,1,79,52
47.18,2522,4,8.4,7.6,7.7,1190,1,1,486,4,1,0,0,0,0,54,1706
24.9,719,4,8.1,7.9,8.3,179,0,0,289,13,1,0,0,0,0,94,2649
38.87,373,3.5,7.6,8.3,8.4,145,0,1,227,0,0,1,0,1,1,90,163
50.14,367,4,8.1,9,7.6,184,1,0,170,3,1,1,0,0,0,129,1072
43.46,1284,4,8,8.7,7.8,558,0,1,292,13,1,1,0,0,0,116,2240
35,120,4,8.5,7.4,8.3,42,0,1,96,0,0,1,0,1,1,70,129
55.43,276,4,8.2,8.2,8.2,153,1,1,209,0,0,1,0,0,1,85,136
67.69,65,4.5,8.6,8.4,8.7,44,1,0,40,0,0,1,0,0,1,39,167
26.29,860,4,8.2,6.8,7.1,225,0,0,483,11,1,0,0,0,0,15,3020
50.97,155,4.5,9,7.6,7.9,79,1,0,91,1,1,1,0,1,0,85,1246
40.94,5553,3.5,7.5,7.9,7.5,2274,0,1,3492,4,1,0,0,1,0,62,438
52.86,611,4,8.4,8.7,8.1,323,1,1,131,2,1,1,0,0,1,71,1313
63.05,1751,4,8.4,7.4,7,1104,1,0,646,3,1,1,0,0,1,50,500
48.81,1508,4,7.9,8.6,8,736,1,0,384,1,1,1,0,0,1,62,1058
51.98,354,4,8,9,8.6,184,1,0,88,4,1,1,0,0,0,213,2841
29.26,2724,3.5,7.7,8.1,7.6,797,0,1,1026,18,1,0,0,0,0,85,1648
44.91,3048,4,8.1,8.6,7.5,1369,1,0,555,4,1,1,1,0,1,97,1526
36.65,2943,3.5,7.6,6.7,6.5,825,0,0,214,236,1,0,0,0,1,83,117
46.86,414,4,8.2,9,8.5,194,1,1,243,2,1,1,0,0,0,344,1663
44.63,2655,4,7.5,8.2,7.7,1018,1,1,502,131,1,1,0,0,1,74,2579
46.51,258,4,8.3,8.3,8.1,120,1,1,89,0,0,1,0,1,0,81,926
57.67,619,4,8.5,7.6,8.2,357,1,0,89,3,1,1,0,1,1,64,1819
39.99,3841,4,7.6,8.1,7.6,1528,0,1,765,35,1,1,0,0,1,55,178
45.56,4653,4,8,8.3,7.6,2120,1,1,1319,18,1,1,1,0,1,76,271
33.64,535,3.5,7.7,7.6,6.9,180,0,0,278,0,0,1,0,0,1,44,183
49.21,571,3.5,7.5,7.8,7.4,281,1,1,344,0,0,1,0,0,1,85,163
50,490,4,8.2,7.5,7.2,245,1,0,168,1,1,1,0,0,1,48,749
46.64,5000,4,7.7,8.5,7.4,2332,1,1,964,27,1,1,0,1,1,94,1852
40.5,3817,4,7.8,7.7,7.8,1546,0,0,722,4,1,1,0,0,1,36,1479
29.71,2299,3.5,7.7,8.2,7.5,683,0,1,1159,9,1,0,0,0,0,85,1371
67.47,83,4,7.6,8.4,8.4,56,1,0,61,2,1,0,0,0,0,119,369
37.33,2178,4,7.9,7.7,7.5,813,0,0,625,2,1,1,0,0,1,58,1104
44.97,1948,4,8,7.9,7.3,858,1,1,275,26,1,1,0,0,1,97,2929
43.11,1350,4,8,8.1,7.2,582,0,0,463,0,0,1,0,0,0,120,709
37.67,1375,4,7.6,7.3,7.1,472,0,1,184,42,1,1,0,0,1,69,2929
41.69,957,4,8.2,7.9,8,399,0,0,146,11,1,1,0,0,0,58,1964
39.03,506,4,8.2,7.1,7,153,0,1,184,22,1,0,1,1,0,68,2498
57.11,380,4,8.4,8.5,8.4,217,1,1,127,0,0,1,0,1,1,96,1144
35.1,208,4,8.7,7.6,7.8,73,0,0,140,3,1,1,0,0,0,53,2446
41.02,4166,4,7.9,7.2,7.1,1638,0,0,628,60,1,0,0,0,0,88,2797
76.85,1840,4,7.6,8.8,8.1,1414,1,0,1449,0,0,1,0,1,1,89,388
24.55,457,4,8.3,6.8,7.1,95,0,1,132,32,1,0,0,0,0,86,3247
29.14,11849,3.5,7.4,7.2,6.5,2361,0,0,2800,872,1,0,0,0,0,72,62
76.31,1701,4,8.3,8,7.8,1298,1,1,1081,0,0,1,0,0,0,82,531
75.24,412,4,8.2,8.5,8.2,310,1,1,343,0,0,1,0,0,0,67,575
63.65,531,4,8.2,7.4,7.9,338,1,0,275,2,1,0,0,0,0,62,333
70.2,198,4.5,8.5,7.9,7.9,139,1,0,109,0,0,1,0,0,1,72,371
36.11,468,4,7.8,7.9,7.9,169,0,1,368,1,1,0,1,0,1,48,534
77.78,72,4.5,8.8,8.5,8.8,56,1,0,51,0,0,1,0,0,0,47,431
37.1,2361,3.5,8,7.3,7.1,876,0,1,699,3,1,1,0,0,1,44,1448
46.46,1496,4,7.7,8,7.4,446,1,1,153,150,1,0,0,0,0,161,2943
39.09,1140,4,8.3,7.4,7.6,419,0,0,350,19,1,1,0,0,0,54,2911
42.41,3177,4,7.6,8.5,7.2,1219,0,0,614,125,1,0,0,0,1,106,2572
38.11,328,4,7.9,7.5,7.4,125,0,1,229,0,0,0,0,0,1,77,487
37.17,930,4,8,6.9,7.3,339,0,1,167,12,1,1,0,1,0,64,2587
61.28,736,4,7.9,8.8,8,451,1,1,540,0,0,0,0,0,1,84,334
26.3,1605,4,7.9,6.3,6.6,339,0,0,446,89,1,0,0,0,0,63,2735
40.5,1484,3.5,7.9,7.2,7.1,601,0,0,596,3,1,1,0,0,1,78,709
50.22,930,4.5,8.5,7.4,8.1,467,1,0,127,3,1,0,0,1,0,76,1234
40,205,4,8.4,8.6,7.3,82,0,0,126,2,1,1,0,0,0,108,315
46.09,2416,4,8,8.6,7.7,1108,1,0,495,23,1,0,0,0,0,149,2895
47.2,1269,4,8.2,8.1,7.9,599,1,0,184,5,1,1,0,0,1,106,2107
70.97,124,4.5,8.5,8,8.2,88,1,1,86,0,0,1,1,1,0,52,471
41.22,730,4,8.3,7.8,7.7,291,0,0,230,24,1,0,0,0,0,131,2948
39.39,264,4,8.4,6.9,6.9,104,0,0,166,0,0,1,0,0,1,49,352
32.44,2255,4,7.7,7.8,7.1,657,0,1,411,110,1,1,1,0,1,86,2986
54.69,565,4,7.7,8.1,8,309,1,1,417,0,0,1,0,0,1,87,352
34.23,111,4,8,7,6.8,38,0,1,68,0,0,1,0,0,1,47,95
48.65,37,4,7.7,7.4,7.7,18,1,0,17,0,0,1,0,0,1,42,102
51.22,141,4.5,8.1,9,8.8,63,1,1,75,11,1,0,0,0,0,335,2940
65,40,4,8.2,8.1,8.3,26,1,0,34,0,0,0,0,0,0,95,268
30.22,556,3.5,7.8,8.4,7.2,168,0,0,422,0,0,0,0,0,0,66,238
46.17,614,4,7.5,8.6,7.7,265,1,0,194,15,1,1,0,1,0,151,2882
40.85,1455,4,7.9,8.5,7.1,574,0,0,225,49,1,0,0,0,0,88,2512
41.5,4063,3.5,7.5,8.1,7.6,1686,0,0,1053,22,1,1,0,0,1,57,288
66.46,161,4,8.2,9,7.9,107,1,0,101,0,0,1,0,1,1,83,367
38.93,2129,4,7.9,7.9,7.2,819,0,0,713,11,1,0,0,0,0,65,2620
59.15,656,4,8.4,7.3,7.2,388,1,0,287,2,1,1,0,0,1,48,455
40.62,2063,4,8,7.7,7.5,838,0,1,373,1,1,1,0,0,1,76,1230
68.35,4354,4,8.3,7.9,7.6,2976,1,1,1037,2,1,1,0,1,0,56,1770
27.18,563,4,8.4,7.5,7.6,153,0,1,166,7,1,0,0,0,0,65,2366
37.63,1257,4,7.8,7.7,7.5,473,0,0,513,1,1,1,0,0,1,58,892
67.47,289,4,8.6,7.8,8,195,1,0,165,0,0,1,0,0,0,73,452
34.8,227,4,8.2,7.3,7.3,79,0,0,98,1,1,1,1,0,1,75,1716
47.65,149,4,8.3,7.6,7.4,71,1,0,87,0,0,1,0,0,1,48,152
53.73,134,4,8,7.7,8.1,72,1,0,102,0,0,1,0,1,1,42,263
44.55,1358,4,8.3,8.2,7.8,605,1,1,227,4,1,1,0,0,1,78,2137
53.7,162,4,8.2,8.3,8.4,87,1,0,111,0,0,1,1,0,0,86,247
